## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/home/ubuntu/projects/ctdna/results/qc/mix01_100M.insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=/home/ubuntu/projects/ctdna/results/bam/mix01_100M.markdup.bam OUTPUT=/home/ubuntu/projects/ctdna/results/qc/mix01_100M.insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 27 23:40:33 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
142	144	17	2	239985751	138.478537	27.270214	6923169	FR	7	15	21	27	35	43	53	65	85	117	175			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	4
4	1
6	3
8	2
9	4
10	4
11	4
12	4
13	2
14	2
15	4
16	5
17	3
18	3
19	2
20	1
21	3
22	2
23	3
24	2
26	3
27	2
28	4
29	4
30	105
31	230
32	313
33	282
34	358
35	450
36	628
37	749
38	889
39	1047
40	1157
41	1337
42	1583
43	1782
44	1953
45	2208
46	2431
47	2773
48	2903
49	3212
50	3410
51	3685
52	3976
53	4162
54	4529
55	4698
56	4976
57	5240
58	5670
59	5708
60	6062
61	6333
62	6713
63	7178
64	7156
65	7521
66	7939
67	8095
68	8601
69	8991
70	9180
71	9410
72	9807
73	10130
74	10584
75	10800
76	11300
77	11414
78	12026
79	12132
80	12863
81	12892
82	13050
83	13812
84	13990
85	14632
86	15588
87	15836
88	16306
89	16746
90	17383
91	18408
92	18783
93	19488
94	20526
95	21191
96	21761
97	23154
98	23856
99	24715
100	26040
101	27074
102	28498
103	29870
104	31048
105	32739
106	34674
107	35911
108	38170
109	39903
110	42084
111	43862
112	46367
113	48143
114	50173
115	52016
116	53718
117	56111
118	58915
119	61091
120	64895
121	67743
122	71046
123	74036
124	77686
125	80161
126	83130
127	85453
128	86831
129	89778
130	91956
131	93576
132	95833
133	96971
134	98467
135	100283
136	101056
137	102145
138	103622
139	103934
140	104758
141	105990
142	106147
143	106172
144	108188
145	108101
146	107647
147	107567
148	107006
149	106098
150	105506
151	106275
152	105439
153	105107
154	104973
155	103978
156	102860
157	101633
158	100936
159	99206
160	98210
161	95920
162	94207
163	93228
164	91158
165	89945
166	87976
167	84997
168	82482
169	79670
170	76768
171	73471
172	69748
173	65923
174	61787
175	57429
176	51858
177	46310
178	39850
179	33239
180	26251
181	20435
182	15049
183	10617
184	7442
185	5069
186	3375
187	2241
188	1648
189	1144
190	867
191	729
192	706
193	614
194	561
195	508
196	468
197	486
198	531
199	487
200	436
201	449
202	444
203	433
204	432
205	430
206	385
207	361
208	383
209	327
210	337
211	348
212	350
213	293
214	359
215	327
216	312
217	332
218	297
219	290
220	284
221	278
222	292
223	287
224	273
225	263
226	272
227	300
228	279
229	242
230	245
231	243
232	227
233	235
234	245
235	213
236	230
237	218
238	225
239	209
240	219
241	220
242	256
243	206
244	205
245	214
246	214
247	174
248	189
249	164
250	162
251	194
252	192
253	179
254	184
255	181
256	176
257	165
258	152
259	172
260	165
261	133
262	152
263	142
264	122
265	124
266	120
267	134
268	155
269	116
270	109
271	132
272	122
273	118
274	139
275	125
276	112
277	118
278	110
279	99
280	101
281	108
282	134
283	125
284	109
285	116
286	81
287	93
288	117
289	101
290	74
291	78
292	69
293	100
294	89
295	94
296	79
297	73
298	89
299	79
300	65
301	58
302	88
303	78
304	89
305	61
306	86
307	86
308	59
309	62
310	59
311	62
312	63

