## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/home/ubuntu/projects/ctdna/results/qc/mix01_200M.insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=/home/ubuntu/projects/ctdna/results/bam/mix01_200M.markdup.bam OUTPUT=/home/ubuntu/projects/ctdna/results/qc/mix01_200M.insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Mar 29 20:33:22 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
142	144	17	2	239985751	138.281305	27.451625	7699180	FR	7	15	21	29	35	43	53	65	85	119	179			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	5
4	2
5	1
6	5
7	1
8	5
9	5
10	6
11	7
12	5
13	3
14	1
15	3
16	7
17	4
18	5
19	3
20	3
21	3
22	5
23	5
24	2
25	2
26	7
27	4
28	7
29	5
30	133
31	342
32	455
33	407
34	508
35	607
36	843
37	949
38	1112
39	1261
40	1448
41	1626
42	1917
43	2159
44	2316
45	2605
46	2959
47	3320
48	3436
49	3755
50	4000
51	4334
52	4662
53	4849
54	5308
55	5415
56	5807
57	6057
58	6546
59	6604
60	6956
61	7315
62	7775
63	8191
64	8216
65	8612
66	9063
67	9284
68	9766
69	10171
70	10498
71	10683
72	11179
73	11528
74	12033
75	12291
76	12891
77	13015
78	13572
79	13755
80	14504
81	14610
82	14687
83	15571
84	15823
85	16484
86	17578
87	17920
88	18282
89	18879
90	19551
91	20695
92	21091
93	21927
94	23018
95	23843
96	24449
97	25994
98	26909
99	27617
100	29086
101	30167
102	31740
103	33423
104	34607
105	36603
106	38790
107	40023
108	42644
109	44484
110	47166
111	48862
112	51640
113	53685
114	55863
115	58026
116	60088
117	62514
118	65539
119	67918
120	72037
121	75343
122	79067
123	82346
124	86479
125	89197
126	92460
127	94950
128	96462
129	99687
130	102071
131	104024
132	106476
133	107655
134	109322
135	111355
136	112036
137	113192
138	115019
139	115325
140	116199
141	117600
142	117628
143	117680
144	119810
145	119749
146	119462
147	119081
148	118599
149	117520
150	117105
151	117618
152	116804
153	116440
154	116136
155	115069
156	113935
157	112606
158	111439
159	109805
160	108456
161	106185
162	104006
163	103198
164	100798
165	99234
166	97479
167	94009
168	91102
169	87921
170	84819
171	81090
172	76864
173	72616
174	68211
175	63407
176	57389
177	51167
178	44068
179	36818
180	28954
181	22593
182	16658
183	11816
184	8227
185	5655
186	3758
187	2495
188	1846
189	1276
190	1010
191	843
192	796
193	709
194	642
195	603
196	546
197	571
198	580
199	569
200	508
201	516
202	512
203	507
204	501
205	506
206	441
207	414
208	441
209	378
210	391
211	397
212	392
213	334
214	407
215	364
216	354
217	375
218	319
219	344
220	326
221	313
222	333
223	327
224	308
225	310
226	304
227	338
228	306
229	273
230	270
231	278
232	255
233	257
234	280
235	239
236	266
237	241
238	257
239	246
240	247
241	248
242	285
243	243
244	222
245	253
246	237
247	191
248	209
249	189
250	187
251	224
252	225
253	199
254	205
255	205
256	190
257	188
258	169
259	191
260	187
261	155
262	175
263	161
264	138
265	136
266	131
267	146
268	166
269	126
270	122
271	145
272	138
273	141
274	152
275	137
276	119
277	126
278	123
279	119
280	116
281	123
282	148
283	135
284	131
285	127
286	90
287	102
288	133
289	109
290	83
291	92
292	84
293	107
294	97
295	102
296	84
297	87
298	99
299	86
300	71
301	69
302	100
303	87
304	97
305	65
306	97
307	96
308	66
309	67
310	65
311	72
312	73

