## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/home/ubuntu/projects/ctdna/results/qc/mix01_5M.insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=/home/ubuntu/projects/ctdna/results/bam/mix01_5M.markdup.bam OUTPUT=/home/ubuntu/projects/ctdna/results/qc/mix01_5M.insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Mar 26 13:59:36 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
143	144	17	2	229763275	139.977468	25.852445	2790994	FR	7	13	21	27	35	41	51	61	79	107	165			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	2
6	1
9	1
12	1
14	1
18	1
20	1
21	1
23	2
24	1
25	2
27	1
28	1
29	1
30	16
31	32
32	36
33	41
34	60
35	58
36	115
37	139
38	163
39	201
40	237
41	281
42	332
43	403
44	397
45	479
46	562
47	663
48	712
49	835
50	805
51	1000
52	1029
53	1126
54	1242
55	1303
56	1386
57	1471
58	1608
59	1593
60	1731
61	1866
62	1996
63	2115
64	2110
65	2362
66	2468
67	2513
68	2594
69	2742
70	2959
71	3049
72	3120
73	3271
74	3382
75	3506
76	3587
77	3827
78	3926
79	3975
80	4334
81	4347
82	4350
83	4656
84	4784
85	5071
86	5353
87	5482
88	5558
89	5873
90	6096
91	6444
92	6609
93	7036
94	7195
95	7616
96	7782
97	8514
98	8789
99	9048
100	9701
101	10132
102	10535
103	11223
104	11579
105	12450
106	13286
107	13771
108	14480
109	15504
110	16168
111	17126
112	18198
113	18833
114	19483
115	20232
116	21041
117	22332
118	23430
119	24228
120	25927
121	27184
122	28459
123	30034
124	30978
125	32666
126	33899
127	34896
128	35197
129	36662
130	37810
131	38302
132	39486
133	40132
134	40791
135	41737
136	41621
137	42429
138	43029
139	43207
140	43535
141	44197
142	44419
143	44212
144	45206
145	44980
146	45156
147	44971
148	44437
149	44515
150	44127
151	44465
152	44054
153	43952
154	44184
155	43449
156	43116
157	42439
158	42125
159	41486
160	40885
161	40177
162	39211
163	39000
164	37952
165	37181
166	36495
167	35210
168	34446
169	32907
170	31881
171	30559
172	28889
173	27270
174	25581
175	23945
176	21541
177	19351
178	16498
179	13649
180	10962
181	8516
182	6190
183	4394
184	2994
185	2109
186	1330
187	903
188	623
189	440
190	327
191	280
192	264
193	210
194	228
195	186
196	185
197	179
198	205
199	173
200	165
201	154
202	171
203	175
204	165
205	160
206	145
207	138
208	146
209	124
210	133
211	129
212	130
213	99
214	136
215	113
216	106
217	123
218	107
219	108
220	104
221	117
222	120
223	123
224	100
225	98
226	93
227	114
228	103
229	99
230	95
231	98
232	96
233	81
234	92
235	85
236	83
237	78
238	95
239	88
240	90
241	78
242	96
243	89
244	82
245	85
246	92
247	71
248	74
249	55
250	67
251	80
252	72
253	71
254	70
255	75
256	74
257	63
258	58
259	62
260	77
261	57
262	57
263	50
264	48
265	52
266	48
267	47
268	59
269	44
270	44
271	38
272	51
273	52
274	52
275	48
276	39
277	41
278	38
279	43
280	39
281	39
282	46
283	48
284	26
285	48
286	32
287	43
288	52
289	48
290	32
291	29
292	23
293	42
294	39
295	33
296	32
297	15
298	34
299	20
300	24
301	18
302	39
303	30
304	32
305	20
306	25
307	33
308	17
309	20
310	17
311	26
312	24
313	21

