## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/home/ubuntu/projects/ctdna/results/qc/mix124_100M.insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=/home/ubuntu/projects/ctdna/results/bam/mix124_100M.markdup.bam OUTPUT=/home/ubuntu/projects/ctdna/results/qc/mix124_100M.insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Mar 28 15:07:15 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
143	156	22	2	236512897	138.461964	33.325712	2807710	FR	9	17	25	35	45	55	67	81	111	143	193			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	3
4	8
5	2
6	4
7	5
8	6
9	7
10	4
11	4
12	2
13	4
14	5
15	6
16	5
17	11
18	10
19	80
20	46
21	34
22	31
23	43
24	47
25	48
26	61
27	67
28	80
29	122
30	150
31	218
32	331
33	297
34	335
35	389
36	489
37	619
38	694
39	864
40	916
41	1029
42	1172
43	1377
44	1430
45	1581
46	1855
47	2064
48	2094
49	2343
50	2488
51	2759
52	2864
53	2918
54	3196
55	3328
56	3391
57	3635
58	3901
59	4027
60	4237
61	4555
62	4689
63	4890
64	5125
65	5274
66	5371
67	5713
68	5878
69	6028
70	6258
71	6438
72	6703
73	6994
74	7093
75	7218
76	7537
77	7607
78	7752
79	8178
80	8066
81	8489
82	8619
83	8718
84	9236
85	9225
86	9441
87	9700
88	9794
89	10176
90	10629
91	10696
92	10803
93	11407
94	11533
95	11637
96	11705
97	12341
98	12140
99	12820
100	12948
101	13307
102	13675
103	14095
104	14454
105	14552
106	14843
107	15324
108	15550
109	16054
110	16609
111	17035
112	17921
113	18042
114	18411
115	19008
116	19148
117	19862
118	20091
119	20782
120	21774
121	21874
122	22972
123	23557
124	24536
125	24937
126	25548
127	26187
128	26757
129	27440
130	28379
131	29024
132	30135
133	30884
134	30755
135	31781
136	32137
137	32850
138	33014
139	33057
140	33917
141	34244
142	34569
143	34633
144	35068
145	35106
146	35464
147	35625
148	35567
149	35387
150	35102
151	34977
152	35117
153	35466
154	35584
155	35472
156	35896
157	35878
158	35106
159	34982
160	35015
161	34779
162	34505
163	34537
164	34176
165	34565
166	34235
167	33745
168	32632
169	32295
170	31877
171	31172
172	30680
173	29655
174	29344
175	28303
176	27421
177	26352
178	24906
179	23691
180	21958
181	20385
182	18516
183	16969
184	15758
185	14193
186	12896
187	11846
188	10485
189	9234
190	7894
191	6430
192	5400
193	4205
194	3249
195	2411
196	1692
197	1152
198	836
199	617
200	439
201	385
202	311
203	301
204	256
205	276
206	235
207	232
208	226
209	246
210	236
211	196
212	218
213	190
214	203
215	213
216	204
217	208
218	196
219	175
220	169
221	177
222	161
223	169
224	157
225	181
226	149
227	145
228	136
229	146
230	137
231	157
232	127
233	158
234	147
235	132
236	103
237	133
238	151
239	133
240	133
241	93
242	130
243	116
244	121
245	99
246	119
247	137
248	105
249	82
250	96
251	97
252	94
253	112
254	107
255	98
256	113
257	89
258	89
259	83
260	84
261	92
262	75
263	84
264	90
265	78
266	80
267	78
268	84
269	75
270	66
271	72
272	67
273	74
274	65
275	73
276	64
277	72
278	58
279	69
280	61
281	60
282	81
283	64
284	59
285	57
286	51
287	59
288	45
289	42
290	39
291	56
292	41
293	40
294	49
295	47
296	52
297	46
298	38
299	35
300	35
301	32
302	40
303	38
304	33
305	47
306	39
307	35
308	40
309	34
310	33
311	28
312	34
313	31
314	25
315	32
316	30
317	33
318	33
319	26
320	25
321	31
322	24
323	28
324	26
325	25
326	31
327	24
328	25
329	34
330	27
331	20
332	25
333	26
334	26
335	24
336	19
337	17
338	13
339	25
340	23
341	20
342	18
343	22
344	23
345	14
346	18
347	24
348	15
349	19
350	14
351	16
352	14
353	21
354	14
355	18
356	12
357	21
358	17
359	16
360	12
361	15
362	13
363	12

